type,name,full_name,isin,haircut,value
mf,JMLFRG,JM LIQUID FUND - GROWTH OPTION,INF192K01882,10,90
mf,KFLRG,KOTAK MONEY MARKET FUND - GROWTH,INF174K01NA6,10,90
mf,KFLRG252D,KOTAK MONEY MARKET FUND - DIRECT PLAN - GROWTH,INF174K01MW2,10,90
mf,KFLRM255D,KOTAK MONEY MARKET FUND - DIRECT PLAN - MONTHLY IDCW REINVESTMENT,INF174K01MX0,10,90
mf,KFLRMDR,KOTAK MONEY MARKET FUND - MONTHLY IDCW REINVESTMENT,INF174K01NB4,10,90
mf,KGIREGG,KOTAK GILT FUND - REGULAR PLAN - GROWTH,INF174K01FI5,10,90
mf,KGIREGQDP,KOTAK GILT FUND - REGULAR PLAN - QUARTERLY IDCW PAYOUT,INF174K01FK1,10,90
mf,KGIREGQDR,KOTAK GILT FUND - REGULAR PLAN - QUARTERLY IDCW REINVESTMENT,INF174K01FJ3,10,90
mf,KKGIG02D,KOTAK GILT FUND - DIRECT PLAN - GROWTH,INF174K01KE4,10,90
mf,KKGIG102D,KOTAK GILT FUND - PROVIDEND FUND AND TRUST - DIRECT PLAN - GROWTH,INF174K01KM7,10,90
mf,KLIQD463D,KOTAK LIQUID FUND - DIRECT PLAN - DAILY IDCW REINVESTMENT,INF174K01NH1,10,90
mf,KLIQG462D,KOTAK LIQUID FUND - DIRECT PLAN - GROWTH,INF174K01NE8,10,90
mf,KLIQPREG,KOTAK LIQUID FUND - REGULAR PLAN - GROWTH,INF174K01NI9,10,90
mf,KTAKOVFDR,KOTAK OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW REINVESTMENT,INF174KA1BB8,10,90
mf,KTAKOVFGR,KOTAK OVERNIGHT FUND - REGULAR PLAN - GROWTH,INF174KA1BC6,10,90
mf,KTKGILT,KOTAK GILT FUND - PROVIDEND FUND AND TRUST - GROWTH,INF174K01FL9,10,90
mf,KTKLIQDR,KOTAK LIQUID FUND - REGULAR PLAN - DAILY IDCW REINVESTMENT,INF174K01NL3,10,90
